filepath,label,split,aug_type,mic_type,experiment,mel_path,group,orig_filepath,drill_diameter,coolant,gcode_pattern,drill_series,fixture,label_original,is_original,orig_experiment,duration_s,rms,rms_db,peak,zcr,mel_total_energy,centroid_mean,centroid_std,rolloff_mean,rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_entropy_mean,spectral_contrast_mean,mfcc_0_mean,mfcc_1_mean,chroma_mean_first,chroma_mean,chroma_std,tonnetz_0_mean,harmonic_percussive_ratio,tempo,onset_rate,crest_factor,wavelet_total_energy,filepath_clean
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_509.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_509_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0027103875763714,-51.33937172002236,0.16143798828125,0.2831188712733178,0.0643537864089012,7140.795826057303,2100.2519931622187,11363.161668262825,3381.5023560914865,0.0101114157587289,0.0145614361390471,4538.3813929491935,1018.2808166554174,9.652687072753906,21.90316182472346,-653.86767578125,0.6798820495605469,0.2400006651878357,0.3044321238994598,0.29068678617477417,-0.0020978088788293,0.1087542399764061,123.046875,4.995703125,35.805965423583984,14.497079849243164,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_509.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_015.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\broca_6_2_015_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,17.41496598639456,0.0853253602981567,-21.37843737335677,0.999969482421875,0.1955538755413058,62.44194412231445,6918.988976388274,429.5335714815634,12895.44776138824,977.7028209629548,0.08122069388628,0.0299154724925756,5929.252710092495,393.776489338145,9.261390686035156,14.032149227471153,-92.90485382080078,74.00387573242188,0.2685806453227997,0.3656255006790161,0.21244442462921143,-0.0165010138698567,1.8791477680206299,123.046875,9.07265625,14.569957733154297,5732.09326171875,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_015.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_590.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\limpio_broca_6_2_590_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,17.41496598639456,0.00305364606902,-50.30362573553692,0.84466552734375,0.2649864283186209,1.463913917541504,7057.858351219371,2157.9459398066506,11516.49069890906,3995.204492694658,0.0146759133785963,0.0195625852793455,4687.557479593887,1137.836639920993,8.990402221679688,19.419088946149166,-632.5535278320312,5.948785305023193,0.1963331401348114,0.2826990783214569,0.2947319447994232,-0.0002741457748654,0.008973568677902222,107.666015625,1.95234375,69.5186538696289,162.43899536132812,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_590.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_224.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_224_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0875226780772209,-21.157588029583817,0.999969482421875,0.20696098434377083,64.89570617675781,6853.543406379398,549.7248787054444,12551.016932721936,959.4821667506228,0.097517691552639,0.0395132601261138,5761.05179977277,347.4674703915639,9.375467300415039,13.61841391906119,-84.719482421875,70.97620391845703,0.3902563750743866,0.4659784734249115,0.20636852085590363,-0.0129094222720783,0.8156536817550659,126.04801829268293,10.910156249999998,20.625890731811523,6153.90234375,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_224.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_171.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_171_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0801514834165573,-21.921768698363383,0.999969482421875,0.2044704571952032,56.99176406860352,6956.360903046149,502.3259098256947,12753.107693829112,912.12058075365,0.0921142697334289,0.0372094064950943,5855.825432649418,342.0290084168027,9.325498580932617,13.52158540945575,-95.03256225585938,72.8563232421875,0.3228504359722137,0.4135670661926269,0.19467000663280487,-0.00144944921665,1.8261359930038452,129.19921875,9.244921875,24.97038459777832,5066.87744140625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_171.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_408.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_408_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,16.253968253968253,0.1027025207877159,-19.768377925680905,0.999969482421875,0.18690193388650964,80.6850357055664,5987.788712183748,469.0541452263251,11269.534804938436,611.6871009783131,0.1075106859207153,0.0293921455740928,5142.11757979412,172.95570970813452,9.325424194335938,13.761069916821354,-57.909812927246094,65.2544937133789,0.506698727607727,0.5450378060340881,0.16470520198345184,0.0066504862310699,1.5739636421203613,117.45383522727272,8.3056640625,16.4479923248291,7762.6513671875,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_408.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_108.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_108_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0658136680722236,-23.63367805618996,0.999969482421875,0.20124181535226515,42.80112838745117,6718.577014138361,518.6636308149108,12303.96610592938,993.8861882533864,0.0761651843786239,0.0320005677640438,5810.09141947293,363.7965958564637,9.251988410949707,13.645319917050145,-119.91128540039062,79.29486846923828,0.4371054172515869,0.4714060127735138,0.18439586460590363,-0.0019738928717859,3.5512256622314453,126.04801829268293,10.68046875,20.559471130371094,3559.7236328125,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_108.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_438.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_438_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0671369433403015,-23.46076869733585,0.999969482421875,0.22761681014740173,33.10799026489258,6655.384683871716,488.4676957627048,11602.264863788723,582.5286396805042,0.1172568276524543,0.025923054665327,5209.744412107124,173.15895562554607,9.476012229919434,13.240252242908374,-98.03168487548828,62.66294860839844,0.4539601504802704,0.5482439994812012,0.1537872552871704,-0.0078399671295124,0.9958057999610901,123.046875,11.13984375,42.25658416748047,3565.37255859375,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_438.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_006.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\broca_6_2_006_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,17.41496598639456,0.1018674299120903,-19.839293008205708,0.999969482421875,0.17931372574533644,96.70565795898438,6663.099068123428,367.538812263841,12907.871314956696,932.1292382902096,0.0672343969345092,0.0215798541903495,6023.774714069226,306.40235330877965,9.116844177246094,14.166889238683476,-83.11459350585938,78.69569396972656,0.2856597304344177,0.4099645614624023,0.20828434824943542,-0.0189167889265064,3.2138564586639404,123.046875,10.910156249999998,12.85313892364502,8568.5830078125,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_006.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_304.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_304_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0737951770424842,-22.639440408213577,0.999969482421875,0.2358333376707195,36.58999252319336,6852.125767723907,522.7345740030204,11856.589064321704,706.1924359265117,0.1337119042873382,0.0358004346489906,5247.7601066201205,167.96189537852868,9.533621788024902,13.240769957604881,-88.00680541992188,56.10906219482422,0.3364683091640472,0.4562967717647552,0.1634628176689148,0.0046096219014414,1.2003319263458252,123.046875,10.393359375,15.845071792602539,4269.91796875,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_304.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_013.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_013_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,17.41496598639456,0.0054168789647519,-45.32501720406608,0.236083984375,0.25999886794220517,0.3869372606277466,7037.068518571315,2176.4860872480854,12052.396319120586,4056.689433087251,0.0073655094020068,0.0125068332999944,4775.216315103505,1559.7050107218,9.587106704711914,22.116297162558947,-590.295654296875,5.829197406768799,0.2618802189826965,0.289154440164566,0.29284748435020447,-0.0039555344422162,0.13234864175319672,114.84375,8.268749999999999,32.26697540283203,62.21342086791992,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_013.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_072.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_072_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.038638487458229,-28.25959763372857,0.999969482421875,0.2176839789098934,12.915371894836426,6915.203188511518,528.1096295068724,12461.986247449617,874.0952186062768,0.0782977789640426,0.0314412862062454,5822.493707621702,337.49253929243923,9.34598159790039,13.396872949164445,-170.03591918945312,76.89513397216797,0.4138048589229584,0.476163774728775,0.17109233140945435,-0.0050945535169164,1.7405657768249512,123.046875,8.0390625,47.55030059814453,1181.6702880859375,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_072.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_283.wav,medianamente_desgastado,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_283_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0754162669181823,-22.450699365292536,0.999969482421875,0.2307374510742838,37.14932632446289,6695.429178497487,438.197620133314,11682.300666743004,571.3762109194444,0.1278382539749145,0.0277960170060396,5208.13479038182,175.702828461127,9.490896224975586,13.356577643839156,-86.74173736572266,56.440067291259766,0.3676083981990814,0.520849883556366,0.16621169447898865,0.0137088143241377,1.006189227104187,123.046875,9.130078125,22.64196014404297,4469.322265625,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_283.wav
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_589.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\limpio_broca_6_2_589_mel.npy,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0031696422956883,-49.9797946568426,0.700103759765625,0.2622652834166146,1.3991495370864868,7151.260783839137,2062.2078906948705,11924.471887687385,3647.868552032586,0.01503920648247,0.0197288934141397,4845.165291214296,1104.6224535436586,9.129034042358398,19.39363572284965,-597.9931030273438,7.113514423370361,0.2498437315225601,0.2962243556976318,0.29174304008483887,-0.0076210158815496,0.11439444869756699,151.99908088235293,2.1533203125,67.39893341064453,124.35833740234376,D:\dataset\cleaned_wavs\combinado\dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_589.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_027.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\sin_desgaste\broca_6_2_027_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,sin_desgaste,True,,17.41496598639456,0.0849311724305152,-21.41865760307625,0.999969482421875,0.21152011939956694,61.411415100097656,6952.496149774123,442.2905962822968,12885.31955258994,1022.5463587176952,0.0837500467896461,0.0280781555920839,5947.43982409133,356.52209946335205,9.27490234375,13.98604078289175,-90.9159927368164,75.00398254394531,0.2620168626308441,0.4172437191009521,0.20836567878723145,-0.0003352071638486,1.219110131263733,126.04801829268293,8.61328125,27.419448852539062,5703.763671875,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_027.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_589.wav,desgastado,train,original,condensador,E4,D:\dataset\mels\desgastado\broca_6_2_589_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,desgastado,True,,18.575963718820866,0.0235140733420848,-32.573442593869615,0.999969482421875,0.2120516108096502,8.02878189086914,6574.957918580441,574.5001277522153,11676.026336079012,750.1233382716447,0.1065681427717208,0.0346115417778492,5226.502079025989,192.0861243092733,9.441020965576172,13.085994538044412,-221.6954040527344,62.78029251098633,0.3342738151550293,0.4772983193397522,0.15845775604248047,-0.013025315992824,0.9559277892112732,123.046875,4.3604736328125,48.315635681152344,740.9561767578125,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_589.wav
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_078.wav,sin_desgaste,train,original,condensador,E4,D:\dataset\mels\medianamente_desgastado\broca_6_2_078_mel.npy,Con falla/6mm_A100/E2_Micrófono2 (condensador),,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado,True,,17.41496598639456,0.0418559573590755,-27.56485438186545,0.999969482421875,0.1927204780146569,17.251558303833008,6770.419563921468,488.1113682441684,12492.987747751498,908.47679791018,0.0741451233625412,0.0306399054825305,5844.032822975704,335.1404371367699,9.301227569580078,13.503917976545527,-165.88230895996094,79.47266387939453,0.2284611910581588,0.3694920241832733,0.1824413686990738,-0.0320485393936949,2.682798147201538,129.19921875,10.278515625,27.386505126953125,1403.096435546875,D:\dataset\cleaned_wavs\combinado\dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_078.wav
