filepath,mel_path,label,group,split,orig_filepath,aug_type,mic_type,experiment,drill_diameter,coolant,gcode_pattern,drill_series,fixture,label_original
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_224.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_224_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_171.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_171_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_460.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_460_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_408.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_408_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_570.wav,D:\dataset\mels\desgastado\limpio_broca6_1_570_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_108.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_108_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_029.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_029_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02117.wav,D:\dataset\mels\desgastado\B02117_mel.npy,desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_438.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_438_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02116.wav,D:\dataset\mels\desgastado\B02116_mel.npy,desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,desgastado
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02006.wav,D:\dataset\mels\sin_desgaste\B02006_mel.npy,sin_desgaste,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_004.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_004_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_006.wav,D:\dataset\mels\sin_desgaste\broca_6_2_006_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_304.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_304_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_013.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_013_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_018.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_018_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_015.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_015_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_072.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_072_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_283.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_283_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_377.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_377_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_589.wav,D:\dataset\mels\desgastado\limpio_broca_6_2_589_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_027.wav,D:\dataset\mels\sin_desgaste\broca_6_2_027_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_589.wav,D:\dataset\mels\desgastado\broca_6_2_589_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,desgastado
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02118.wav,D:\dataset\mels\desgastado\B02118_mel.npy,desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_078.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_078_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_407.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_407_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_461.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_461_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_007.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_007_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_196.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_196_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_271.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_271_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_492.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_492_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset/Con falla limpios/6mm_A100/E4_Micrófono2 (condensador)/limpio_broca_6_2_591.wav,D:\dataset\mels\desgastado\limpio_broca_6_2_591_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_503.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_503_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02115.wav,D:\dataset\mels\desgastado\B02115_mel.npy,desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_013.wav,D:\dataset\mels\sin_desgaste\broca_6_2_013_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02075.wav,D:\dataset\mels\medianamente_desgastado\B02075_mel.npy,medianamente_desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_029.wav,D:\dataset\mels\sin_desgaste\broca_6_2_029_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_022.wav,D:\dataset\mels\sin_desgaste\broca_6_2_022_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02080.wav,D:\dataset\mels\medianamente_desgastado\B02080_mel.npy,medianamente_desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_584.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_584_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_190.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_190_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_132.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_132_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_005.wav,D:\dataset\mels\sin_desgaste\broca_6_2_005_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02003.wav,D:\dataset\mels\sin_desgaste\B02003_mel.npy,sin_desgaste,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_014.wav,D:\dataset\mels\sin_desgaste\broca_6_2_014_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_379.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_379_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_481.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_481_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_009.wav,D:\dataset\mels\sin_desgaste\broca_6_2_009_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_021.wav,D:\dataset\mels\sin_desgaste\broca_6_2_021_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_051.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_051_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_026.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_026_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_008.wav,D:\dataset\mels\sin_desgaste\broca_6_2_008_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_005.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_005_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_023.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_023_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_004.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_004_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_119.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_119_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_172.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_172_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_030.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_030_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_257.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_257_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_020.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_020_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_303.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_303_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_572.wav,D:\dataset\mels\desgastado\limpio_broca6_1_572_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_028.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_028_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
